Locus	Representative_gene_model	Symbol	Q_val_up	Description
AT5G15350	AT5G15350.1	AtENODL17	1	early nodulin-like protein 17
AT5G15360	AT5G15360.1	""	NA	transmembrane protein
AT5G15380	AT5G15380.1	DRM1	NA	domains rearranged methylase 1
AT5G15390	AT5G15390.1	""	0.000143	tRNA/rRNA methyltransferase (SpoU) family protein
AT5G15400	AT5G15400.1	MUSE3	1	U-box domain-containing protein
AT5G15410	AT5G15410.1	ATCNGC2	1	Cyclic nucleotide-regulated ion channel family protein
AT5G15420	AT5G15420.1	""	NA	hypothetical protein
AT5G15430	AT5G15430.1	""	NA	Plant calmodulin-binding protein-like protein
AT5G15440	AT5G15440.1	EDL1	1	EID1-like 1
AT5G15450	AT5G15450.1	APG6	NA	casein lytic proteinase B3
AT5G15460	AT5G15460.1	MUB2	1	membrane-anchored ubiquitin-fold protein 2
AT5G15470	AT5G15470.1	GAUT14	NA	galacturonosyltransferase 14
AT5G15480	AT5G15480.1	""	NA	C2H2-type zinc finger family protein
AT5G15490	AT5G15490.1	UGD3	NA	UDP-glucose 6-dehydrogenase family protein
AT5G15500	AT5G15500.2	""	1	Ankyrin repeat family protein
AT5G15510	AT5G15510.2	""	0.368578	TPX2 (targeting protein for Xklp2) protein family
AT5G15520	AT5G15520.1	""	1	Ribosomal protein S19e family protein
AT5G15530	AT5G15530.1	BCCP2	NA	biotin carboxyl carrier protein 2
AT5G15540	AT5G15540.1	ATSCC2	1	PHD finger family protein
AT5G15550	AT5G15550.1	atPEIP2	1	Transducin/WD40 repeat-like superfamily protein
AT5G15560	AT5G15560.1	""	NA	hypothetical protein
AT5G15570	AT5G15570.1	""	1	Bromodomain transcription factor
AT5G15580	AT5G15580.1	AtLNG1	NA	longifolia1
AT5G15581	AT5G15581.1	""	1	transmembrane protein
AT5G15600	AT5G15600.1	SP1L4	NA	SPIRAL1-like4
AT5G15610	AT5G15610.1	""	1	Proteasome component (PCI) domain protein
AT5G15620	AT5G15620.1	""	NA	F-box/RNI-like superfamily protein
AT5G15630	AT5G15630.1	AtCOBL4	7.7e-05	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
AT5G15640	AT5G15640.1	""	0.100932	Mitochondrial substrate carrier family protein
AT5G15650	AT5G15650.1	ATRGP2	NA	reversibly glycosylated polypeptide 2
AT5G15660	AT5G15660.1	""	NA	F-box and associated interaction domains-containing protein
AT5G15670	AT5G15670.1	""	NA	F-box family protein
AT5G15680	AT5G15680.1	""	1	ARM repeat superfamily protein
AT5G15690	AT5G15690.1	""	NA	zinc ion binding protein
AT5G15700	AT5G15700.2	""	1	DNA/RNA polymerases superfamily protein
AT5G15710	AT5G15710.1	""	NA	Galactose oxidase/kelch repeat superfamily protein
AT5G15720	AT5G15720.1	GLIP7	NA	GDSL-motif lipase 7
AT5G15725	AT5G15725.1	GLV9	NA	transmembrane protein
AT5G15730	AT5G15730.2	AtCRLK2	1	Protein kinase superfamily protein
AT5G15740	AT5G15740.1	RRT1	NA	O-fucosyltransferase family protein
AT5G15750	AT5G15750.1	""	NA	Alpha-L RNA-binding motif/Ribosomal protein S4 family protein
AT5G15760	AT5G15760.1	PSRP3/2	NA	Ribosomal protein PSRP-3/Ycf65
AT5G15770	AT5G15770.1	AtGNA1	NA	glucose-6-phosphate acetyltransferase 1
AT5G15780	AT5G15780.1	""	NA	Pollen Ole e 1 allergen and extensin family protein
AT5G15790	AT5G15790.1	""	1	RING/U-box superfamily protein
AT5G15800	AT5G15800.2	AGL2	1	K-box region and MADS-box transcription factor family protein
AT5G15802	AT5G15802.1	HCF222	0.484335	chaperone
AT5G15810	AT5G15810.1	AtTRM1b	1	tRNA (guanine(26)-N(2))-dimethyltransferase
AT5G15820	AT5G15820.1	""	NA	RING/U-box superfamily protein
AT5G15830	AT5G15830.1	AtbZIP3	NA	basic leucine-zipper 3
AT5G15840	AT5G15840.1	BBX1	0.077822	B-box type zinc finger protein with CCT domain-containing protein
AT5G15850	AT5G15850.1	ATCOL1	NA	CONSTANS-like 1
AT5G15853	AT5G15853.1	""	NA	hypothetical protein
AT5G15860	AT5G15860.1	ATPCME	0.158379	prenylcysteine methylesterase
AT5G15870	AT5G15870.1	""	NA	glycosyl hydrolase family 81 protein
AT5G15880	AT5G15880.1	""	1	golgin family A protein
AT5G15890	AT5G15890.1	TBL21	NA	TRICHOME BIREFRINGENCE-LIKE 21
AT5G15900	AT5G15900.1	TBL19	NA	TRICHOME BIREFRINGENCE-LIKE 19
AT5G15910	AT5G15910.1	""	0.817068	NAD(P)-binding Rossmann-fold superfamily protein
AT5G15920	AT5G15920.1	AtSMC5	NA	structural maintenance of chromosomes 5
AT5G15930	AT5G15930.1	PAM1	1	plant adhesion molecule 1
AT5G15940	AT5G15940.1	""	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT5G15950	AT5G15950.1	SAMDC2	NA	Adenosylmethionine decarboxylase family protein
AT5G15960	AT5G15960.1	KIN1	1	stress-responsive protein (KIN1) / stress-induced protein (KIN1)
AT5G15970	AT5G15970.1	AtCor6.6	NA	stress-responsive protein (KIN2) / stress-induced protein (KIN2) / cold-responsive protein (COR6.6) / cold-regulated protein (COR6.6)
AT5G15980	AT5G15980.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT5G16000	AT5G16000.1	AtNIK1	NA	NSP-interacting kinase 1
AT5G16010	AT5G16010.1	""	NA	3-oxo-5-alpha-steroid 4-dehydrogenase family protein
AT5G16020	AT5G16020.1	GEX3	NA	gamete-expressed 3
AT5G16023	AT5G16023.1	DVL1	NA	ROTUNDIFOLIA like 18
AT5G16030	AT5G16030.3	""	1	mental retardation GTPase activating protein
AT5G16040	AT5G16040.1	""	NA	Regulator of chromosome condensation (RCC1) family protein
AT5G16050	AT5G16050.1	GF14 UPSILON	NA	general regulatory factor 5
AT5G16060	AT5G16060.1	""	1	Cytochrome c oxidase biogenesis protein Cmc1-like protein
AT5G16070	AT5G16070.1	""	1	TCP-1/cpn60 chaperonin family protein
AT5G16080	AT5G16080.1	AtCXE17	NA	carboxyesterase 17
AT5G16090	AT5G16090.1	""	NA	RAD23 UV excision repair family protein
AT5G16100	AT5G16100.1	""	NA	RWP-RK domain protein
AT5G16110	AT5G16110.1	""	1	hypothetical protein
AT5G16120	AT5G16120.2	MAGL15	1	alpha/beta-Hydrolases superfamily protein
AT5G16130	AT5G16130.1	""	1	Ribosomal protein S7e family protein
AT5G16140	AT5G16140.1	""	0.001201	Peptidyl-tRNA hydrolase family protein
AT5G16150	AT5G16150.1	GLT1	0.875264	plastidic GLC translocator
AT5G16160	AT5G16160.1	""	NA	hypothetical protein
AT5G16170	AT5G16170.1	""	NA	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
AT5G16180	AT5G16180.1	ATCRS1	0.145968	maize chloroplast splicing factor-like protein
AT5G16190	AT5G16190.1	ATCSLA11	1	cellulose synthase like A11
AT5G16200	AT5G16200.1	""	NA	50S ribosomal protein-like protein
AT5G16210	AT5G16210.1	""	0.763909	HEAT repeat-containing protein
AT5G16220	AT5G16220.1	""	NA	Octicosapeptide/Phox/Bem1p family protein
AT5G16230	AT5G16230.1	AAD3	1	Plant stearoyl-acyl-carrier-protein desaturase family protein
AT5G16240	AT5G16240.1	AAD1	NA	Plant stearoyl-acyl-carrier-protein desaturase family protein
AT5G16250	AT5G16250.1	""	NA	transmembrane protein
AT5G16260	AT5G16260.1	ELF9	1	RNA binding (RRM/RBD/RNP motifs) family protein
AT5G16270	AT5G16270.1	ATRAD21.3	1	sister chromatid cohesion 1 protein 4
AT5G16280	AT5G16280.1	""	0.315876	Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G16285	AT5G16285.1	""	NA	F-box family protein
AT5G16290	AT5G16290.1	AHASS2	1	VALINE-TOLERANT 1
AT5G16300	AT5G16300.1	COG1	1	Vps51/Vps67 family (components of vesicular transport) protein
AT5G16310	AT5G16310.1	UCH1	NA	Peptidase C12, ubiquitin carboxyl-terminal hydrolase 1
AT5G16320	AT5G16320.1	FRL1	NA	FRIGIDA like 1
AT5G16330	AT5G16330.1	""	NA	NC domain-containing protein-like protein
AT5G16340	AT5G16340.1	""	NA	AMP-dependent synthetase and ligase family protein
AT5G16350	AT5G16350.1	""	1	O-acyltransferase (WSD1-like) family protein
AT5G16360	AT5G16360.1	""	1	NC domain-containing protein-like protein
AT5G16370	AT5G16370.1	AAE5	NA	acyl activating enzyme 5
AT5G16380	AT5G16380.1	""	NA	autophagy-like protein, putative (Protein of unknown function, DUF538)
AT5G16390	AT5G16390.1	BCCP	NA	chloroplastic acetylcoenzyme A carboxylase 1
AT5G16400	AT5G16400.1	ATF2	NA	thioredoxin F2
AT5G16410	AT5G16410.1	""	NA	HXXXD-type acyl-transferase family protein
AT5G16420	AT5G16420.1	""	NA	Pentatricopeptide repeat (PPR-like) superfamily protein
AT5G16430	AT5G16430.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT5G16440	AT5G16440.1	IPP1	1	isopentenyl diphosphate isomerase 1
AT5G16450	AT5G16450.1	""	1	Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase
AT5G16453	AT5G16453.1	""	NA	Defensin-like (DEFL) family protein
AT5G16460	AT5G16460.1	SEIPIN1	NA	Putative adipose-regulatory protein (Seipin)
AT5G16470	AT5G16470.1	MBS2	NA	zinc finger (C2H2 type) family protein
AT5G16480	AT5G16480.1	AtPFA-DSP5	0.035809	Phosphotyrosine protein phosphatases superfamily protein
AT5G16486	AT5G16486.1	""	NA	RNA-directed DNA polymerase (reverse transcriptase)-related family protein
AT5G16490	AT5G16490.1	RIC4	0.641549	ROP-interactive CRIB motif-containing protein 4
AT5G16500	AT5G16500.1	LIP1	NA	Protein kinase superfamily protein
AT5G16510	AT5G16510.1	RGP5	NA	Alpha-1,4-glucan-protein synthase family protein
AT5G16520	AT5G16520.1	""	1	transmembrane protein
AT5G16530	AT5G16530.1	PIN5	NA	Auxin efflux carrier family protein
AT5G16540	AT5G16540.1	ZFN3	0.898575	zinc finger nuclease 3
AT5G16550	AT5G16550.1	LDIP	NA	voltage-dependent L-type calcium channel subunit
AT5G16560	AT5G16560.1	KAN	NA	Homeodomain-like superfamily protein
AT5G16570	AT5G16570.1	GLN1;4	NA	glutamine synthetase 1
AT5G16580	AT5G16580.1	BGLU2	NA	beta glucosidase 2
AT5G16590	AT5G16590.1	LRR1	NA	Leucine-rich repeat protein kinase family protein
AT5G16600	AT5G16600.1	AtMYB43	NA	myb domain protein 43
AT5G16610	AT5G16610.2	""	1	hypothetical protein
AT5G16620	AT5G16620.1	ATTIC40	7.7e-05	hydroxyproline-rich glycoprotein family protein
AT5G16630	AT5G16630.1	ATRAD4	NA	DNA repair protein Rad4 family
AT5G16640	AT5G16640.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT5G16650	AT5G16650.1	""	1	Chaperone DnaJ-domain superfamily protein
AT5G16660	AT5G16660.1	""	1	Low-density receptor-like protein
AT5G16680	AT5G16680.1	""	1	RING/FYVE/PHD zinc finger superfamily protein
AT5G16690	AT5G16690.1	ATORC3	1	origin recognition complex subunit 3
AT5G16700	AT5G16700.1	""	NA	Glycosyl hydrolase superfamily protein
AT5G16710	AT5G16710.1	DHAR3	NA	dehydroascorbate reductase 1
AT5G16715	AT5G16715.1	EMB2247	0.00106	protein EMBRYO DEFECTIVE 2247
AT5G16720	AT5G16720.1	MyoB3	NA	caldesmon-like protein (Protein of unknown function, DUF593)
AT5G16730	AT5G16730.1	""	NA	weak chloroplast movement under blue light protein (DUF827)
AT5G16740	AT5G16740.1	""	NA	Transmembrane amino acid transporter family protein
AT5G16750	AT5G16750.1	TOZ	1	Transducin family protein / WD-40 repeat family protein
AT5G16760	AT5G16760.1	AtITPK1	1	Inositol 1,3,4-trisphosphate 5/6-kinase family protein
AT5G16770	AT5G16770.1	AtMYB9	1	myb domain protein 9
AT5G16780	AT5G16780.1	DOT2	1	SART-1 family
AT5G16790	AT5G16790.1	AtTHO7	NA	Tho complex subunit 7/Mft1p
AT5G16800	AT5G16800.3	""	1	Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT5G16810	AT5G16810.1	""	0.005877	Protein kinase superfamily protein
AT5G16820	AT5G16820.1	ATHSF3	1	heat shock factor 3
AT5G16830	AT5G16830.1	ATPEP12	NA	syntaxin of plants 21
AT5G16840	AT5G16840.2	BPA1	1	binding partner of acd11 1
AT5G16850	AT5G16850.1	ATTERT	NA	telomerase reverse transcriptase
AT5G16860	AT5G16860.1	""	NA	Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G16870	AT5G16870.1	""	1	Peptidyl-tRNA hydrolase II (PTH2) family protein
AT5G16880	AT5G16880.1	""	1	Target of Myb protein 1
AT5G16890	AT5G16890.1	""	0.002956	Exostosin family protein
AT5G16900	AT5G16900.1	""	1	Leucine-rich repeat protein kinase family protein
AT5G16910	AT5G16910.1	ATCSLD2	NA	cellulose-synthase like D2
AT5G16920	AT5G16920.1	""	NA	Fasciclin-like arabinogalactan family protein
AT5G16930	AT5G16930.1	""	1	AAA-type ATPase family protein
AT5G16940	AT5G16940.1	""	0.049657	carbon-sulfur lyase
AT5G16950	AT5G16950.1	""	NA	krueppel-like factor
AT5G16960	AT5G16960.1	""	1	Zinc-binding dehydrogenase family protein
AT5G16970	AT5G16970.1	AER	1	alkenal reductase
AT5G16980	AT5G16980.2	""	0.038314	Zinc-binding dehydrogenase family protein
AT5G16990	AT5G16990.1	""	NA	Zinc-binding dehydrogenase family protein
AT5G17000	AT5G17000.1	""	1	Zinc-binding dehydrogenase family protein
AT5G17010	AT5G17010.1	""	1	Major facilitator superfamily protein
AT5G17020	AT5G17020.1	ATCRM1	0.366321	exportin 1A
AT5G17030	AT5G17030.1	UGT78D3	NA	UDP-glucosyl transferase 78D3
AT5G17040	AT5G17040.1	""	NA	UDP-Glycosyltransferase superfamily protein
AT5G17050	AT5G17050.1	UGT78D2	NA	UDP-glucosyl transferase 78D2
AT5G17060	AT5G17060.1	ARFB1B	NA	ADP-ribosylation factor B1B
AT5G17070	AT5G17070.1	PP4R2L	0.011336	serine/threonine-protein phosphatase 4 regulatory subunit-like protein
AT5G17080	AT5G17080.1	""	NA	Cysteine proteinases superfamily protein
AT5G17090	AT5G17090.1	""	NA	Cystatin/monellin superfamily protein
AT5G17100	AT5G17100.1	""	NA	Cystatin/monellin superfamily protein
AT5G17110	AT5G17110.1	""	NA	Cystatin/monellin superfamily protein
AT5G17120	AT5G17120.1	""	NA	Cystatin/monellin superfamily protein
AT5G17130	AT5G17130.1	""	NA	cysteine-type peptidase
AT5G17140	AT5G17140.1	""	NA	Cysteine proteinases superfamily protein
AT5G17150	AT5G17150.1	""	NA	Cystatin/monellin superfamily protein
AT5G17160	AT5G17160.1	""	NA	aspartic/glutamic acid-rich protein
AT5G17165	AT5G17165.1	""	NA	hypothetical protein
AT5G17170	AT5G17170.1	ENH1	1	rubredoxin family protein
AT5G17180	AT5G17180.1	""	NA	hypothetical protein
AT5G17190	AT5G17190.1	""	NA	B-cell receptor-associated-like protein
AT5G17200	AT5G17200.1	""	NA	Pectin lyase-like superfamily protein
AT5G17210	AT5G17210.1	""	NA	transmembrane protein, putative (DUF1218)
AT5G17220	AT5G17220.1	ATGSTF12	1	glutathione S-transferase phi 12
AT5G17230	AT5G17230.3	PSY	0.832901	PHYTOENE SYNTHASE
AT5G17240	AT5G17240.1	SDG40	0.720835	SET domain group 40
AT5G17250	AT5G17250.1	""	0.734144	Alkaline-phosphatase-like family protein
AT5G17260	AT5G17260.1	anac086	NA	NAC domain containing protein 86
AT5G17270	AT5G17270.1	""	1	Protein prenylyltransferase superfamily protein
AT5G17280	AT5G17280.1	""	NA	oxidoreductase-like protein, amino-terminal protein
AT5G17290	AT5G17290.1	APG5	1	autophagy protein Apg5 family
AT5G17300	AT5G17300.1	RVE1	1	Homeodomain-like superfamily protein
AT5G17310	AT5G17310.2	AtUGP2	7.7e-05	UDP-glucose pyrophosphorylase 2
AT5G17320	AT5G17320.1	HDG9	NA	homeodomain GLABROUS 9
AT5G17330	AT5G17330.1	AtGAD1	1	glutamate decarboxylase
AT5G17340	AT5G17340.1	""	NA	Putative membrane lipoprotein
AT5G17350	AT5G17350.1	""	NA	hypothetical protein
AT5G17360	AT5G17360.1	""	1	DNA ligase
AT5G17370	AT5G17370.1	""	1	Transducin/WD40 repeat-like superfamily protein
AT5G17380	AT5G17380.1	""	NA	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein
AT5G17390	AT5G17390.1	""	NA	Adenine nucleotide alpha hydrolases-like superfamily protein
AT5G17400	AT5G17400.1	ER-ANT1	1	endoplasmic reticulum-adenine nucleotide transporter 1
AT5G17410	AT5G17410.2	""	0.034945	Spc97 / Spc98 family of spindle pole body (SBP) component
AT5G17420	AT5G17420.1	ATCESA7	1	Cellulose synthase family protein
AT5G17430	AT5G17430.1	BBM	NA	Integrase-type DNA-binding superfamily protein
AT5G17440	AT5G17440.1	""	0.006167	LUC7 related protein
AT5G17450	AT5G17450.1	HIPP21	1	Heavy metal transport/detoxification superfamily protein
AT5G17460	AT5G17460.2	DFR1	1	glutamyl-tRNA (Gln) amidotransferase subunit C
AT5G17470	AT5G17470.1	""	NA	EF hand calcium-binding protein family
AT5G17480	AT5G17480.1	APC1	NA	pollen calcium-binding protein 1
AT5G17490	AT5G17490.1	AtRGL3	NA	RGA-like protein 3
AT5G17500	AT5G17500.1	""	NA	Glycosyl hydrolase superfamily protein
AT5G17510	AT5G17510.1	""	1	mediator of RNA polymerase II transcription subunit-like protein
AT5G17520	AT5G17520.1	MEX1	1	root cap 1 (RCP1)
AT5G17523	AT5G17523.1	""	NA	maltose excess-like protein
AT5G17530	AT5G17530.3	""	0.072071	phosphoglucosamine mutase family protein
AT5G17540	AT5G17540.1	""	NA	HXXXD-type acyl-transferase family protein
AT5G17550	AT5G17550.1	AtPEX19-2	7.7e-05	peroxin 19-2
AT5G17560	AT5G17560.1	BolA4	0.946661	BolA-like family protein
AT5G17570	AT5G17570.1	""	1	TatD related DNase
AT5G17580	AT5G17580.1	""	NA	Phototropic-responsive NPH3 family protein
AT5G17590	AT5G17590.1	""	NA	Putative membrane lipoprotein
AT5G17600	AT5G17600.1	""	NA	RING/U-box superfamily protein
AT5G17610	AT5G17610.1	""	NA	hypothetical protein
AT5G17620	AT5G17620.1	AUG7	0.091895	nuclear matrix protein
AT5G17630	AT5G17630.1	""	NA	Nucleotide/sugar transporter family protein
AT5G17640	AT5G17640.1	ASG1	1	nuclear factor 1 A-type protein (DUF1005)
AT5G17650	AT5G17650.1	""	1	glycine/proline-rich protein
AT5G17660	AT5G17660.1	AtTRM8b	0.231701	tRNA (guanine-N-7) methyltransferase
AT5G17670	AT5G17670.1	""	0.190791	alpha/beta-Hydrolases superfamily protein
AT5G17680	AT5G17680.1	""	NA	disease resistance protein (TIR-NBS-LRR class)
AT5G17690	AT5G17690.1	AtLHP1	0.970054	like heterochromatin protein (LHP1)
AT5G17700	AT5G17700.1	""	1	MATE efflux family protein
AT5G17710	AT5G17710.2	EMB1241	0.032233	Co-chaperone GrpE family protein
AT5G17720	AT5G17720.1	""	NA	alpha/beta-Hydrolases superfamily protein
AT5G17730	AT5G17730.1	""	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G17740	AT5G17740.1	""	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G17750	AT5G17750.1	""	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G17760	AT5G17760.1	""	1	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT5G17770	AT5G17770.1	ATCBR	1	NADH:cytochrome B5 reductase 1
AT5G17780	AT5G17780.2	""	1	alpha/beta-Hydrolases superfamily protein
AT5G17790	AT5G17790.1	OZ1	0.075735	zinc finger (Ran-binding) family protein
AT5G17800	AT5G17800.1	AtMYB56	NA	myb domain protein 56
AT5G17810	AT5G17810.1	WOX12	1	WUSCHEL related homeobox 12
AT5G17820	AT5G17820.1	PER57	NA	Peroxidase superfamily protein
AT5G17830	AT5G17830.1	""	NA	Plasma-membrane choline transporter family protein
AT5G17840	AT5G17840.1	""	NA	DnaJ/Hsp40 cysteine-rich domain superfamily protein
AT5G17847	AT5G17847.1	""	NA	hypothetical protein
AT5G17850	AT5G17850.1	CCX2	NA	Sodium/calcium exchanger family protein
AT5G17860	AT5G17860.1	CAX7	1	calcium exchanger 7
AT5G17870	AT5G17870.1	PSRP6	NA	plastid-specific 50S ribosomal protein 6
AT5G17880	AT5G17880.1	CSA1	1	disease resistance protein (TIR-NBS-LRR class)
AT5G17890	AT5G17890.1	CHS3	1	DA1-related protein 4
AT5G17900	AT5G17900.1	""	1	microfibrillar-associated protein-like protein
AT5G17910	AT5G17910.1	""	1	cardiomyopathy-associated protein
AT5G17920	AT5G17920.1	ATCIMS	1	Cobalamin-independent synthase family protein
AT5G17930	AT5G17930.1	""	1	MIF4G domain-containing protein / MA3 domain-containing protein
AT5G17950	AT5G17950.1	""	NA	disease resistance protein
AT5G17960	AT5G17960.1	""	NA	Cysteine/Histidine-rich C1 domain family protein
AT5G17970	AT5G17970.1	""	NA	Disease resistance protein (TIR-NBS-LRR class) family
AT5G17980	AT5G17980.1	MCTP16	NA	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein
AT5G17990	AT5G17990.1	pat1	1	tryptophan biosynthesis 1
AT5G18000	AT5G18000.1	VDD	NA	VERDANDI
AT5G18010	AT5G18010.1	SAUR19	NA	SAUR-like auxin-responsive protein family
AT5G18020	AT5G18020.1	SAUR20	NA	SAUR-like auxin-responsive protein family
AT5G18030	AT5G18030.1	SAUR21	NA	SAUR-like auxin-responsive protein family
AT5G18037	AT5G18037.1	""	NA	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT5G18040	AT5G18040.1	HTT2	NA	target of trans acting-siR480/255 protein
AT5G18050	AT5G18050.1	SAUR22	NA	SAUR-like auxin-responsive protein family
AT5G18060	AT5G18060.1	SAUR23	NA	SAUR-like auxin-responsive protein family
AT5G18065	AT5G18065.1	HTT3	1	target of trans acting-siR480/255 protein
AT5G18070	AT5G18070.1	DRT101	NA	phosphoglucosamine mutase-like protein
AT5G18080	AT5G18080.1	SAUR24	NA	SAUR-like auxin-responsive protein family
AT5G18090	AT5G18090.1	""	NA	AP2/B3-like transcriptional factor family protein
AT5G18100	AT5G18100.1	CSD3	0.852761	copper/zinc superoxide dismutase 3
AT5G18110	AT5G18110.1	NCBP	NA	Putative cap-binding protein
AT5G18120	AT5G18120.1	APRL7	NA	APR-like 7
AT5G18130	AT5G18130.1	""	1	transmembrane protein
AT5G18140	AT5G18140.1	DJC69	NA	Chaperone DnaJ-domain superfamily protein
AT5G18150	AT5G18150.1	""	1	Methyltransferase-related protein
AT5G18160	AT5G18160.1	""	NA	F-box and associated interaction domains-containing protein
AT5G18170	AT5G18170.1	GDH1	1	glutamate dehydrogenase 1
AT5G18180	AT5G18180.1	""	NA	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein
AT5G18190	AT5G18190.1	AEL4	0.932954	Protein kinase family protein
AT5G18200	AT5G18200.1	""	NA	putative galactose-1-phosphate uridyltransferase
AT5G18210	AT5G18210.1	""	1	NAD(P)-binding Rossmann-fold superfamily protein
AT5G18220	AT5G18220.1	""	1	O-Glycosyl hydrolases family 17 protein
AT5G18230	AT5G18230.2	""	0.000583	transcription regulator NOT2/NOT3/NOT5 family protein
AT5G18240	AT5G18240.1	ATMYR1	0.495281	myb-related protein 1
AT5G18250	AT5G18250.1	""	NA	transmembrane protein
AT5G18260	AT5G18260.1	""	0.491835	RING/U-box superfamily protein
AT5G18270	AT5G18270.1	ANAC087	1	NAC domain containing protein 87
AT5G18280	AT5G18280.2	APY2	1	apyrase 2
AT5G18290	AT5G18290.1	SIP1;2	1	Aquaporin-like superfamily protein
AT5G18300	AT5G18300.1	anac088	NA	NAC domain containing protein 88
AT5G18310	AT5G18310.2	""	1	ubiquitin hydrolase
AT5G18320	AT5G18320.1	PUB46	NA	ARM repeat superfamily protein
AT5G18330	AT5G18330.1	PUB47	NA	ARM repeat superfamily protein
AT5G18340	AT5G18340.1	PUB48	NA	ARM repeat superfamily protein
AT5G18350	AT5G18350.1	""	NA	Disease resistance protein (TIR-NBS-LRR class) family
AT5G18360	AT5G18360.1	""	NA	Disease resistance protein (TIR-NBS-LRR class) family
AT5G18370	AT5G18370.1	DSC2	NA	disease resistance protein (TIR-NBS-LRR class) family protein
AT5G18380	AT5G18380.1	""	NA	Ribosomal protein S5 domain 2-like superfamily protein
AT5G18390	AT5G18390.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT5G18400	AT5G18400.2	AtDRE2	1	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesi
AT5G18403	AT5G18403.1	""	NA	Putative membrane lipoprotein
AT5G18404	AT5G18404.1	""	NA	hypothetical protein
AT5G18407	AT5G18407.1	""	NA	Defensin-like (DEFL) family protein
AT5G18410	AT5G18410.1	ATSRA1	1	transcription activator
AT5G18420	AT5G18420.2	""	1	CCR4-NOT transcription complex subunit
AT5G18430	AT5G18430.1	""	NA	GDSL-like Lipase/Acylhydrolase superfamily protein
AT5G18440	AT5G18440.1	AtNUFIP	1	GATA zinc finger protein
AT5G18450	AT5G18450.1	""	NA	Integrase-type DNA-binding superfamily protein
AT5G18460	AT5G18460.1	""	1	carboxyl-terminal peptidase (DUF239)
AT5G18470	AT5G18470.1	""	NA	Curculin-like (mannose-binding) lectin family protein
AT5G18475	AT5G18475.1	""	NA	Pentatricopeptide repeat (PPR) superfamily protein
AT5G18480	AT5G18480.1	IPUT1	1	plant glycogenin-like starch initiation protein 6
AT5G18490	AT5G18490.1	""	NA	vacuolar sorting-associated protein (DUF946)
AT5G18500	AT5G18500.1	""	0.000623	Protein kinase superfamily protein
AT5G18510	AT5G18510.1	""	NA	Aminotransferase-like, plant mobile domain family protein
AT5G18520	AT5G18520.1	Cand7	NA	Lung seven transmembrane receptor family protein
AT5G18525	AT5G18525.1	gfs12	1	protein serine/threonine kinase
AT5G18540	AT5G18540.1	""	1	E3 ubiquitin-protein ligase
AT5G18550	AT5G18550.1	""	1	Zinc finger C-x8-C-x5-C-x3-H type family protein
AT5G18560	AT5G18560.1	PUCHI	NA	Integrase-type DNA-binding superfamily protein
AT5G18570	AT5G18570.1	ATOBGC	0.167448	GTP1/OBG family protein
AT5G18580	AT5G18580.1	EMB40	0.395388	tonneau 2 (TON2)
AT5G18590	AT5G18590.1	""	1	Galactose oxidase/kelch repeat superfamily protein
AT5G18600	AT5G18600.1	ROXY10	NA	Thioredoxin superfamily protein
AT5G18610	AT5G18610.1	PBL27	NA	Protein kinase superfamily protein
AT5G18620	AT5G18620.2	CHR17	1	chromatin remodeling factor17
AT5G18630	AT5G18630.1	""	1	alpha/beta-Hydrolases superfamily protein
AT5G18636	AT5G18636.1	""	NA	Ta11-like non-LTR retrotransposon
AT5G18640	AT5G18640.1	""	0.946971	alpha/beta-Hydrolases superfamily protein
AT5G18650	AT5G18650.1	MIEL1	1	CHY-type/CTCHY-type/RING-type Zinc finger protein
AT5G18660	AT5G18660.1	DVR	NA	NAD(P)-binding Rossmann-fold superfamily protein
AT5G18661	AT5G18661.1	""	NA	transmembrane protein
AT5G18670	AT5G18670.1	BAM9	NA	beta-amylase 3
AT5G18680	AT5G18680.1	AtTLP11	1	tubby like protein 11
AT5G18690	AT5G18690.1	AGP25	NA	arabinogalactan protein 25
AT5G18700	AT5G18700.1	EMB3013	NA	kinase family with ARM repeat domain-containing protein
AT5G18710	AT5G18710.1	""	NA	DNAJ heat shock amino-terminal domain protein, putative (DUF3444)
